Star,JD-2450000,S/N,RV(km/s),RV_error(km/s),Max_ΔRV(km/s),RUWE,AEN,Category
HD148035,9738.73,60,-17.624,0.004,,2.626,0.341,2
HD151220,10143.60,34,-43.220,0.004,,1.797,0.185,2
HD194898,10224.49,24,-38.629,0.006,,1.648,0.237,2
HD195899,10227.63,40,-30.225,0.004,,2.16,0.222,2
HD196997,10227.64,38,8.852,0.004,,2.408,0.318,2
HD199554,10224.54,33,78.719,0.004,,2.31,0.312,2
HD206757,10224.63,33,-91.930,0.005,,2.051,0.288,2
HD215767,10225.72,39,7.443,0.004,,1.882,0.216,2
HD217365,10225.74,37,46.883,0.004,,1.782,0.205,2
HD218120,10225.75,35,-30.497,0.005,,2.317,0.319,2
HD221059,10227.65,39,5.374,0.004,,1.679,0.241,2
HD221897,10226.60,37,-7.998,0.004,,1.413,0.144,2
HD221921,10224.64,25,-7.296,0.006,,2.182,0.222,2
HD224485,10226.78,41,-2.973,0.005,,2.193,0.32,2
HD25872,10227.85,34,49.463,0.004,,2.401,0.238,2
HD34246,10225.86,37,8.675,0.005,,1.959,0.234,2
HD45616,10226.81,39,39.030,0.004,,1.796,0.258,2
HD7381,10224.79,29,-22.706,0.005,,2.176,0.279,2
HD74993,9738.50,61,5.741,0.003,,1.589,0.255,2
TYC1172-588-1,10227.66,34,-12.653,0.005,,1.811,0.191,2
CD-397574,8650.60,52,6.018,0.004,,0.984,0.08,3
HD107045,8650.57,59,-11.651,0.003,0.014,0.975,0.118,3
,9673.68,60,-11.653,0.003,,,,
,9737.64,61,-11.639,0.003,,,,
HD114430,8651.58,41,-15.857,0.004,0.015,0.966,0.123,3
,9673.72,60,-15.854,0.004,,,,
,9737.63,60,-15.842,0.003,,,,
HD116845,8649.54,67,-6.378,0.004,0.012,0.924,0.098,3
,9673.74,60,-6.380,0.004,,,,
,9737.69,60,-6.368,0.004,,,,
HD120144,8650.65,65,-0.653,0.003,0.053,1.373,0.19,3
,9673.76,63,-0.639,0.003,,,,
,9737.70,63,-0.599,0.003,,,,
HD122568,8651.61,40,17.947,0.004,0.018,1.253,0.111,3
,9673.78,61,17.929,0.003,,,,
,9737.72,61,17.940,0.003,,,,
HD124461,8650.67,69,-40.668,0.003,0.012,1.097,0.139,3
,9673.79,61,-40.676,0.003,,,,
,9739.61,60,-40.664,0.003,,,,
HD149649,8651.64,36,7.936,0.005,0.046,0.954,0.107,3
,9673.82,61,7.982,0.004,,,,
